Title,Author,Description,Article_Link,Cited_by,All_versions,Related_articles_Link
Targeting the CANZUS baby boomer explorer and adventurer segments,"TE Muller, M Cleaver - Journal of Vacation Marketing, 2000 - journals.sagepub.com","The world's 90 million post-war baby boomers set the stage for some very fruitful international marketing efforts in adventure travel and educational or discovery tourism in the 21st century. Canada, Australia, New Zealand and the United States (the CANZUS …",https://journals.sagepub.com/doi/abs/10.1177/135676670000600206,130,3,"https://scholar.google.com/scholar?q=related:OrQ3jR_keIQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Baby boomer doctors and nurses: demographic change and transitions to retirement,"DJ Schofield, JR Beard - Medical Journal of Australia, 2005 - Wiley Online Library","Objectives: To examine the effect of demographic change on employment patterns for general practitioners, medical specialists and nurses since 1986, and to compare their patterns of retirement. Design and setting: Secondary analysis of previously unpublished …",https://onlinelibrary.wiley.com/doi/abs/10.5694/j.1326-5377.2005.tb06928.x,137,9,"https://scholar.google.com/scholar?q=related:9gN3XrEQkoUJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Baby boomer retirement security: The roles of planning, financial literacy, and housing wealth","A Lusardi, OS Mitchell - Journal of monetary Economics, 2007 - Elsevier","We compare wealth holdings across two cohorts of the Health and Retirement Study: the early Baby Boomers in 2004, and individuals in the same age group in 1992. Levels and patterns of total net worth have changed relatively little over time, though Boomers rely more …",https://www.sciencedirect.com/science/article/pii/S0304393206002467,2746,26,"https://scholar.google.com/scholar?q=related:WjNkRA71F8MJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Educating a new generation: teaching baby boomer faculty about millennial students,"K Mangold - Nurse educator, 2007 - journals.lww.com","This review examines the impact of generational influences on the faculty-student relationship. Specifically, the baby boomer faculty-millennial learner dyad is explored, as these two generations are most representative of the faculty-student demographic. Teaching …",https://journals.lww.com/nurseeducatoronline/Fulltext/2007/01000/Educating_a_New_Generation__Teaching_Baby_Boomer.7.aspx,206,5,"https://scholar.google.com/scholar?q=related:fPfo1vQXnvgJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Health behaviors among baby boomer informal caregivers,"GJ Hoffman, J Lee, CA Mendez-Luck - The Gerontologist, 2012 - academic.oup.com",Abstract Purpose of the Study: This study examines health-risk behaviors among “Baby Boomer” caregivers and non-caregivers. Design and Methods: Data from the 2009 California Health Interview Survey of the state's non-institutionalized population provided …,https://academic.oup.com/gerontologist/article-abstract/52/2/219/617953,84,12,"https://scholar.google.com/scholar?q=related:rwKSPJUWMskJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Financial planning for retirement: An imperative for baby boomer women,"JC Glass Jr, BB Kilpatrick - Educational Gerontology: An …, 1998 - Taylor & Francis","The baby boomer generation is quickly moving to the time of retirement. Signs point to the need for boomers to assume more responsibility for their financial security in retirement. In general, older women today do not have the financial resources that men do and are poorer …",https://www.tandfonline.com/doi/abs/10.1080/0360127980240606,94,3,"https://scholar.google.com/scholar?q=related:59oowva87fEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The baby boomer market,"LJ Coleman, M Hladikova, M Savelyeva - Journal of Targeting …, 2006 - Springer","This literature review discusses the maturing of the baby boomer generation and the way this large segment of the population is affecting the workplace and the marketplace. As baby boomers tend to have active positions in life and to be potent employees and consumers, it …",https://link.springer.com/article/10.1057/palgrave.jt.5740181,65,3,"https://scholar.google.com/scholar?q=related:ncUq3m0BzucJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Boomer and the American Law of Nuisance: Past, Present, and Future","JL Lewin - Alb. L. Rev., 1989 - HeinOnline","In March of 1970, on the eve of the first Earth Day celebration and teach-in, the New York Court of Appeals handed down its decision in Boomer v. Atlantic Cement Co.'Almost immediately, scholarly commentators and textbook writers recognized Boomer as a leading …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/albany54&section=16,104,,"https://scholar.google.com/scholar?q=related:v-VgdHWXITcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Using consumer behavior research to understand the baby boomer tourist,"M Cleaver, BC Green, TE Muller - Journal of Hospitality & …, 2000 - journals.sagepub.com","This article focuses on consumer behavior research to better understand Australian baby boomer tourists, although the principles and methods behind this empirical study are equally applicable to the baby boomer tourism markets in the United States, Canada, and New …",https://journals.sagepub.com/doi/abs/10.1177/109634800002400210,66,5,"https://scholar.google.com/scholar?q=related:j95riUMFqMUJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Finding faith: The spiritual quest of the post-boomer generation,"R Flory, D Miller - 2008 - books.google.com","Despite the masses still lining up to enter mega-churches with warehouse-like architecture, casually dressed clergy, and pop Christian music, the “Post-Boomer” generation—those ranging in age from twenty to forty—is having second thoughts. In this perceptive look at the …",https://books.google.com/books?hl=en&lr=&id=IS0_sg5aBVwC&oi=fnd&pg=PR5&dq=boomer&ots=J87JYA41k2&sig=-y0fecNrrsUFcF2N8QhUc3MHlwo,105,2,"https://scholar.google.com/scholar?q=related:Q8Q37P3m-1sJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
