Name,ID,Content,Comments,Retweet,Likes,ImageURL,VideoURL,TweetURL
AC,ArialBlade,"Attention boomers, leave our shit alone. It’s fine, quit trying to change shit that doesn’t need to be edited.Signed,Gen z, gen X, and millennials. #NetNeutrality pic.twitter.com/Rsc3VmXkCl",42,472,2.3K,https://video.twimg.com/tweet_video/ELccUIgXYAEBAQK.mp4,https://twitter.com/i/videos/1204462563297288192?embed_source=facebook,https://twitter.com/ArialBlade/status/1204462563297288192
Save Me Jungkook | au 📌,GoldenCalico_,"Yoonkook auJungkook is jealous of vmins relationship and tired of his own single ass,, so he does what any other gen z kid would do, makes a tiktok account where he starts calling vmin out and making sad single people vids. until someone notices him,, pic.twitter.com/1JDZJyNvT4",1,8,36,https://pbs.twimg.com/media/ELccv-CXkAIImL4.pnghttps://pbs.twimg.com/media/ELccwdQXsAIsEUV.jpg,,https://twitter.com/GoldenCalico_/status/1204463053548470272
 🌻 🌴,izzraimy,This is the only educational video to have came out of the Gen Z’s in 2019. https://twitter.com/arissababy_18/status/1204072755462721537 …,,35,45,,,https://twitter.com/izzraimy/status/1204074459042156545
kris  🍞 #숩랑단,soobakery,gen z citizens raise ur hands if u do this too  pic.twitter.com/8n4mrRIhdP,13,61,204,,https://twitter.com/i/videos/1204408965917900802?embed_source=facebook,https://twitter.com/soobakery/status/1204408965917900802
 🥀 💉sara 💉 🥀 @ SUF spoilers,pyramidserum,2020 may be approaching but let the 1998-2003 gen z babies remember their roots,9,31,400,,,https://twitter.com/pyramidserum/status/1202716271789391873
��𝓪 𝓥𝓲𝓵𝓵𝓪𝓷𝓮𝓵𝓵𝓮,MKR181,All of gen z looking at this tag #APleaToGenZpic.twitter.com/y3CgXckyZJ,3,93,848,https://pbs.twimg.com/media/ELMpOXbWwAYA4uN.jpg,,https://twitter.com/MKR181/status/1203350855728193536
 🇺🇸Americans Abroad & Allies For Bernie  🇦🇺 🌏,OzForBernie,"Berners, we gotta GET OUT THE VOTE for YOUNGER s. Millennials &amp; Gen Z want *real change* for better lives. No bullshit.#Bernie2020https://twitter.com/ryanstruyk/status/1204494417299755011 …",1,16,52,,,https://twitter.com/OzForBernie/status/1204500204008833025
idiot 101,bananniiiiie,gen z culture is caring passionately about world problems but not being able to take the time to focus on them bc of school and the overwhelming fact that u know that its partly ur responsibility bc other gens fucked up too much,,2,24,,,https://twitter.com/bananniiiiie/status/1203535376641449984
BuzzFeed,BuzzFeed,"Sorry Millennials, Only Gen Z'ers Will Be Able To Recognize 9/33 Of These TikTokers https://www.buzzfeed.com/ajanibazile/tiktokers-checklist?utm_source=dynamic&utm_campaign=bftwbuzzfeed&ref=bftwbuzzfeed …",51,9,205,,,https://twitter.com/BuzzFeed/status/1203717510320836608
Casey,20DollarsAGram,Gen Z attitude with Boomer back pain,,2,6,,,https://twitter.com/20DollarsAGram/status/1204586009377165312
Allie,WisKanSass,Insta is for Gen ZTwitter is for Millennials https://twitter.com/ginggaii/status/1203656202774671362 …,,9,61,,,https://twitter.com/WisKanSass/status/1204252610678661120
