Name,ID,Content,Comments,Retweet,Likes,ImageURL,VideoURL,TweetURL
my inner Psyche,lovexpsyche,Mark the date! December 20 (Friday) at the Northwing Atrium. This is your chance to meet and greet   The Millennial Multihyphenate Nadine Lustre as she launches her latest collection from Lustrous (her own brand under BYS)SM City Cebu pic.twitter.com/Ka4sFODtnG,,8,18,https://pbs.twimg.com/media/ELeq9Q_U4AI5xKJ.jpg,,https://twitter.com/lovexpsyche/status/1204619400466202624
Andy Ngo,MrAndyNgo,"Breaking: Transgender model and activist, Jessica Yaniv, accused of sex abuse of minors in new explosive allegations. https://www.thepostmillennial.com/breaking-jessica-yaniv-accused-of-masturbating-to-underage-teens-on-video/ …",774,2.1K,5.0K,,,https://twitter.com/MrAndyNgo/status/1204489395908284417
Andy Ngo,MrAndyNgo,"On Saturday, dozens of masked antifa militants chased a right-wing group in Olympia, Wash. In addition, they beat and robbed an independent journalist who was recording the altercation. Read the story:https://www.thepostmillennial.com/watch-antifa-attack-journalist-and-right-wing-group-in-washington-state/ …",236,1.5K,2.6K,,,https://twitter.com/MrAndyNgo/status/1204092147844165633
Tammy Robinson,tamrobinson1966,"Justin Trudeau projected to be the largest debt accumulator in Canada's history: Fraser Institute - The Post Millennial Trudeau’s legacy will be felt by our kids, their kids and their kids...Canada voted in a man with zero accountability. ⁦#TrudeauMustGohttps://www.thepostmillennial.com/justin-trudeau-projected-to-be-the-largest-debt-accumulator-in-canadas-history-fraser-institute/ …",12,61,75,,,https://twitter.com/tamrobinson1966/status/1204519770005086211
⚢ Grendel @ finals,Itsprettybent,instead of paying for some stupid millennial team building exercise instructor to bring my employees together I think I’ll just entice a woman made of worms to invade my office for FREE,,31,83,,,https://twitter.com/Itsprettybent/status/1204450181774749697
Millennial Review,MillReview,Pete is absolute garbagehttps://twitter.com/ddiamond/status/1204610620861165570 …,12,24,63,,,https://twitter.com/MillReview/status/1204619652531466246
Candice Malcolm,CandiceMalcolm,"The NHL is doing its best impression of McCarthyism — with snitch lines, blacklists and all.https://www.thepostmillennial.com/the-nhl-witch-hunts-have-begun/ …",20,78,193,,,https://twitter.com/CandiceMalcolm/status/1204588058961682432
emma lord,dilemmalord,every baby boomer mother describing her millennial daughter pic.twitter.com/7Ic3O0OWxw,1,27,236,https://pbs.twimg.com/media/ELZS9H-WsAA8AHQ.pnghttps://pbs.twimg.com/media/ELZS9H0WsAA-gOC.pnghttps://pbs.twimg.com/media/ELZS9H1WwAEzEkI.png,,https://twitter.com/dilemmalord/status/1204241180499861504
Jungkook's hair,infinitylis,Jungkook won Instagrammer Global award at the MTV Millennial Awards... are these your awards JK let me know that @BTS_twt pic.twitter.com/cPRKh7iyEu,1,83,193,https://pbs.twimg.com/media/ELXgVZ1WkAAND_j.jpghttps://pbs.twimg.com/media/ELXgVZ2WkAIPGcM.jpg,,https://twitter.com/infinitylis/status/1204115141949820934
Aleana Young,AleanaYoung,"#twitterlessmccall is my politics big brother. His wit, wisdom, and warmth are inimitable. Tonight was bittersweet. That said - I am over the moon that @mearcat_, another accomplished and exceptional millennial woman has joined our incredible candidate team  https://twitter.com/katnorton5/status/1204576547643879424 …",,3,18,,,https://twitter.com/AleanaYoung/status/1204603100280979457
Canada Proud,WeAreCanProud,Canada needs leaders who are actually capable and willing to stand up to China.https://www.thepostmillennial.com/watch-tory-mp-blasts-liberals-failure-to-save-china-detainees/ …,2,35,71,,,https://twitter.com/WeAreCanProud/status/1204072783711485953
 🇬🇾 🗽Sydette THE RETURN OF THE DAYWALKER  🗽 🇬🇾,Blackamazon,High I’m a Millennial and I officially need y’all to shut the fuck up especially talking  to Black X’ers . Y’all out here talking about a generational gap when the racial and class cap amongst us INTERIORLY is bigger https://twitter.com/markthema3/status/1203749299919548416 …,1,10,92,,,https://twitter.com/Blackamazon/status/1203804228394766337
nat,yoitsnatdawg,Unpopular opinion: intermittent fasting is a just a millennial wording alternative for skipping breakfast.,,3,19,,,https://twitter.com/yoitsnatdawg/status/1204270049223200768
BottleofJamyson,Jamyson80385542,When the weather outside is frightful but you’re a millennial so there’s no delightful fireplace and you also have a million places to be pic.twitter.com/VpARkMR2Np,1,,2,,https://twitter.com/i/videos/1204561481066397696?embed_source=facebook,https://twitter.com/Jamyson80385542/status/1204561481066397696
Chrono Mana,ChronoMana_,Who wants to join me at the Millennial Festival?  pic.twitter.com/IjrGxX1nQi,6,19,116,,https://twitter.com/i/videos/1204187115568975872?embed_source=facebook,https://twitter.com/ChronoMana_/status/1204187115568975872
No(w) Chill Millennial  ✨ 🙃 ✊,darnitJC,"as an Aries writer, here are some of my rejected topic pitches:1. So They Called You a Bitch. Here's Why You Should Prove Them Right2. When Slitting Throats is not an Option3. F*ck Therapy: 5 Less Expensive Ways to Unload Rage",1,31,190,,,https://twitter.com/darnitJC/status/1204275000359829504
Ben Greaves,bengreaves21,"Had to call TD about accidentally paying my credit card bill twice (idiot) and when the guy on the other end realized I actually did, his words were “*clinching face* ya damn bro that sucks, quick fix though”. Now that’s what I call millennial customer service",1,,6,,,https://twitter.com/bengreaves21/status/1204592002152701954
Addy Baird,addysue,Dying to talk to the 2% of millennial Dem primary voters who love Michael Bloomberg????? Who ARE you??? What is your life like?? https://twitter.com/ryanstruyk/status/1204494417299755011 …,172,194,3.2K,,,https://twitter.com/addysue/status/1204553056114880512
Derek Thompson,DKThomp,"The Great Recession was a tectonic moment in generational politics, splitting Millennial politics from older cohorts. That divide is maintained and deepened by differences in media consumption: Seniors live in TVLand, young activists live on social. These are different worlds. pic.twitter.com/1Aculm0ZcT",25,156,323,https://pbs.twimg.com/media/ELbZmbFWsAEDCvE.png,,https://twitter.com/DKThomp/status/1204389208875507712
HoustonSubGirl,SubHouston,"Drinking with a couple of millennial hotties. Told them to learn to cook, suck a dick, and STFU.The opposition was unbelievable. Carry on, bitches.",6,2,49,,,https://twitter.com/SubHouston/status/1203772684183769089
No(w) Chill Millennial  ✨ 🙃 ✊,darnitJC,"GUYS IT'S NOT THAT HARDFIGHT CHINESE IMPERIALISM WITHOUT BEING RACIST 101-- anti-colonialism-- WPS, -- Chinese contracts and businessmen on our public utilities-- Duterte's pro-China policies incl. laborKAAWAY BA ANG SAMBAYANANG TSINO, including Chinese workers here?NO",1,59,259,,,https://twitter.com/darnitJC/status/1204613587156664320
Cookie Run Updates!  🦉 🎄,cookierunupdate,"(Ovenbreak) Update is happening tomorrow, 08:00 (GMT +9).  Breakout Episode: Escape from the Oven is returning! Run with 12 Cookies instead of 20! Pudding's Skill is similar to a rhythm game.Few hours left: City of the Millennial Tree Firecracker's Trial Cup https://twitter.com/cookierunupdate/status/1202235558547709953 …",1,15,142,,,https://twitter.com/cookierunupdate/status/1203947199085740032
Eric Holthaus,EricHolthaus,"If you’re a millennial, Greenland is melting about 7 times faster now than when we were a kid.We can’t keep waiting around for incremental change.We are in a climate emergency. https://twitter.com/NASAEarth/status/1204506347242315776 …",8,149,297,,,https://twitter.com/EricHolthaus/status/1204508655091142661
Elliot  🐉 Patreon launch @ Jan 1st!,OverexcitedBoyo,Being a millennial in a relationship means if your partner ever Actually gets murdered you'll literally be put in jail for shitpost crimes pic.twitter.com/z8yOnz7F4i,,,6,https://pbs.twimg.com/media/ELcUmDiWsAAGzyx.jpg,,https://twitter.com/OverexcitedBoyo/status/1204454072721563648
BDSM Jokes - Memes,BdsmMemes,"Them: How do you punish a  fellow millennial sub?Me a Switch: Oh, being a brat are we? Well says here that you... ""Lost The Game""?",,6,24,,,https://twitter.com/BdsmMemes/status/1203755901011845121
Millennial Music Agency,MillennialFame,Who’s releasing new music in 2020?,9,2,13,,,https://twitter.com/MillennialFame/status/1204600199424835584
Canada Gun Club,Canada_Gun_Club,"Tracey Wilson VP of Public Relations for the Canadian Coalition for Firearm Rights: Pandering to the ignorant mob ""So why bans now? - The ignorant mob celebrates, and Trudeau’s administration panders to them""https://www.thepostmillennial.com/gun-bans-pandering-to-the-ignorant-mob/ …",8,81,167,,,https://twitter.com/Canada_Gun_Club/status/1204004378677567490
��,versacemenal,nah if u were alive AND REMEMBER 9/11 ur a millennial https://twitter.com/omaiirrr/status/1204451465609146368 …,,1,7,,,https://twitter.com/versacemenal/status/1204484780936585216
Charmaine Verhagen,charmainevee,Bon Appétit is the millennial-safe YouTube channel. It’s the first one I’ve subscribed to and legit watched the hell out of. Probably because cooking is cooler than drawing at this point (IMO) and they’re all around my age and that comforts my millennial ass.,2,7,217,,,https://twitter.com/charmainevee/status/1204316293295296518
⋆:･ﾟ𝖼𝖺𝖿𝖿𝖾𝗂𝗇𝖺𝗍𝖾 𝖽𝖺𝗂𝗅𝗒,caffestay,"you know how younger generations are stereotyped superficial, lazy, and addicted to tech? well stray kids has members from millennial to gen z, BUT are incredibly hard working, humble, and impact millions around the world through the internet and their music. take that boomers.",1,18,45,,,https://twitter.com/caffestay/status/1204145069319548929
em,em_witt_17,"i think one of my favorite things about being a millennial is we've somehow taken the need for multiple jobs and coined it as a ""side hustle""",5,7,105,,,https://twitter.com/em_witt_17/status/1204488059225563142
ₙₒ ₜₐₗₖ ₘₑ ᴬᴺᴳᴿY,Steffu_nyan,"Me, a millennial: god, millennial humor is fucking weird  Also me looking at humorous millennial posts: pic.twitter.com/DMRmdC1HDY",,,3,https://video.twimg.com/tweet_video/ELdY7hQWkAYwGjf.mp4,https://twitter.com/i/videos/1204529211790254080?embed_source=facebook,https://twitter.com/Steffu_nyan/status/1204529211790254080
Euron Skelljoy,DMSkeletor,Being a millennial is watching 9/11 in a classroom then graduating college into the worst economic crisis since The Great Depression  https://twitter.com/EvilCEOE/status/1203835094810742784 …,5,9,76,,,https://twitter.com/DMSkeletor/status/1203909553160687616
Natalie 'vote labour or people will die' Ashton,Natalan,i'm an openly-partisan millennial nobody and i use higher standards of evidence *in private conversations* than the political editor of the bbc does on her million-follower twitter account *during a general fucking election*,2,24,147,,,https://twitter.com/Natalan/status/1204150785426243584
Justin Oaksford,Justinoaksford,Who's butt does this person have their head shoved up that they think millennials might believe markets never go downI don't know a single millennial who isn't just waiting for the crash pic.twitter.com/78OtkVLrXz,9,5,41,https://pbs.twimg.com/media/ELaM4BgU4AARzlu.jpg,,https://twitter.com/Justinoaksford/status/1204304848885207042
Building Great Marriages,dovidfeldman,"Male-shaming, disguised as ""bro-vice"" is disgusting.""The average guy sucks in bed""""Today's men can't lead""""Most men are weak""""Millennial dudes are soyboys""This is not only unhelpful, but emotionally bullying and abusive.",5,6,75,,,https://twitter.com/dovidfeldman/status/1203891468911423490
Crunchyroll,Crunchyroll,"FEATURE: Happy Birthday to Evangelion's Misato Katsuragi, Anime's First Millennial! More: http://got.cr/misatobday pic.twitter.com/20OwxT1IBS",30,491,2.6K,https://pbs.twimg.com/media/ELTTHXRWkAYP7Cc.jpg,,https://twitter.com/Crunchyroll/status/1203819126092967941
The Independent,Independent,Finland puts everyone to shame by appointing a progressive millennial woman as world's youngest PM http://bit.ly/2RGQXX4 ,22,88,303,,,https://twitter.com/Independent/status/1204352557788913664
Real Madrid Info,RMadridInfo,As’s Cover | “Millennial Madrid: Zidane is preparing a lineup against Brugge with five players under 22 years.” pic.twitter.com/5GLAFr4Khb,,20,137,https://pbs.twimg.com/media/ELdf_D0WwAA4_lR.jpg,,https://twitter.com/RMadridInfo/status/1204536970157973505
colorschemer,colorschemez,dytiscid blue/greenwaterlog purpleish pinkmillennial turquoise pic.twitter.com/Fbf8Tb6rGo,2,18,97,https://pbs.twimg.com/media/ELUSyNpU8AA8rHE.png,,https://twitter.com/colorschemez/status/1203889130364526593
Luke Ehlert,two_hand_Luke,"30 years from now a teenager is going to say to you “ok millennial,” and you’ll just: pic.twitter.com/KUngBaTUki",,,14,,https://twitter.com/i/videos/1204175900755054600?embed_source=facebook,https://twitter.com/two_hand_Luke/status/1204175900755054600
National Citizens Coalition,NatCitizens,"BIG UNION GREED: The Ontario Secondary School Teachers’ Federation (OSSTF) has spent a staggering $352,975 on Facebook ads since June, as they try to extract even more $ from the Ontario government.So much for being the plucky, underpaid underdogs...https://www.thepostmillennial.com/ontario-high-school-teachers-union-spent-352975-in-facebook-ads-since-june/ …",,6,8,,,https://twitter.com/NatCitizens/status/1204455940721909760
The Millennial Snowflake,Teh_Snowflake,"“Why end a friendship over political differences?”For marginalized groups, the personal is political, so “political differences” are not just abstract talking points. They have dire consequences. If you can’t understand that, consider yourself fortunate.",,8,14,,,https://twitter.com/Teh_Snowflake/status/1204163290349424641
Millennial Doctor at your service yes,MillennialMD,moodpic.twitter.com/6Ew7e9DQRK,,209,581,https://pbs.twimg.com/media/ELVm8XpUUAEJcbq.jpg,,https://twitter.com/MillennialMD/status/1203981669058744320
Malefic Mooseplaining Max,Mooseplainer,"Bill Clinton’s election was a big deal in part because he was the first boomer president. At the time, the oldest boomer was 46 and the youngest 28. We haven’t had a Gen X president and the youngest is 39, never mind a millennial president.",2,12,44,,,https://twitter.com/Mooseplainer/status/1204492123518562304
themsteri,teririch,"Don Cherry's new podcast continues to stay in Canadian's top ten podcast list, at one point surpassing the Joe Rogan Experience. https://www.thepostmillennial.com/don-cherrys-podcast-briefly-surpassed-the-joe-rogan-experience-as-the-most-popular-in-canada/?fbclid=IwAR2AX_jKs6XuMMsVIFd0x2u0fp0YCRmXn8h9r8lYc87m9afTHNrg-A9wrYA …  #cndpoli",4,46,98,,,https://twitter.com/teririch/status/1204267315388223488
 🌴AfroTropical 🌴,bad_dominicana,i eat half an avocado with my lunch every day. not coz im a millennial. because im dominican. we all do. they cheap and easy to find in everyone's backyard here. have a nice day.,10,35,491,,,https://twitter.com/bad_dominicana/status/1204083829679566849
Nick Dadds,dicknadds,The fact that I can’t get a part-time job to supplement the income from my full-time job because of my master’s degree and credential which I needed for my full-time job is peak millennial.,1,3,10,,,https://twitter.com/dicknadds/status/1204271246109794304
e m m y  🎄,crackthesky__,what millennial bullshit is this pic.twitter.com/7kcMlvyDwk,1,1,14,https://pbs.twimg.com/media/ELXA3V5WoAE6b06.jpg,,https://twitter.com/crackthesky__/status/1204080536622436357
Waleed Shahid,_waleedshahid,"Many leaders of the millennial left also leapfrogged the existing gatekeepers in the Democratic and progressive intellectual, political, and media infrastructure.But creates a dynamic where their ideas often dominant the media without many of those voices around to defend them. https://twitter.com/ryanstruyk/status/1204494417299755011 …",8,21,134,,,https://twitter.com/_waleedshahid/status/1204522198133805058
Col. Rob Maness ret.,RobManess,Journalists suspended from Twitter for reporting on Pensacola Shooter's motivation - The Post Millennial https://www.thepostmillennial.com/journalists-suspended-from-twitter-for-reporting-on-pensacola-shooters-motivation/ …,30,308,343,,,https://twitter.com/RobManess/status/1203875075184873472
